State,County,Median_AQI
Alabama,Baldwin,38
Alabama,Clay,34
Alabama,DeKalb,37
Alabama,Elmore,31
Alabama,Etowah,36
Alabama,Jefferson,54
Alabama,Lawrence,24
Alabama,Madison,47
Alabama,Mobile,49
Alabama,Montgomery,58
Alabama,Morgan,41
Alabama,Russell,44
Alabama,Shelby,34
Alabama,Sumter,33
Alabama,Tuscaloosa,34
Alaska,Aleutians East ,11
Alaska,Anchorage ,27
Alaska,Bethel ,7
Alaska,Denali ,33
Alaska,Fairbanks North Star ,39
Alaska,Juneau ,19
Alaska,Kenai Peninsula ,10
Alaska,Matanuska-Susitna ,17
Alaska,North Slope ,6
Arizona,Apache,14
Arizona,Cochise,45
Arizona,Coconino,44
Arizona,Gila,44
Arizona,La Paz,44
Arizona,Maricopa,112
Arizona,Mohave,19
Arizona,Navajo,43
Arizona,Pima,55
Arizona,Pinal,73
Arizona,Santa Cruz,44
Arizona,Yavapai,45
Arizona,Yuma,49
Arkansas,Arkansas,36
Arkansas,Ashley,37
Arkansas,Clark,29
Arkansas,Crittenden,45
Arkansas,Garland,39
Arkansas,Jackson,34
Arkansas,Newton,35
Arkansas,Polk,37
Arkansas,Pulaski,50
Arkansas,Union,45
Arkansas,Washington,44
California,Alameda,52
California,Amador,37
California,Butte,54
California,Calaveras,48
California,Colusa,42
California,Contra Costa,49
California,Del Norte,42
California,El Dorado,43
California,Fresno,76
California,Glenn,46
California,Humboldt,29
California,Imperial,60
California,Inyo,57
California,Kern,83
California,Kings,70
California,Lake,32
California,Los Angeles,85
California,Madera,64
California,Marin,36
California,Mariposa,49
California,Mendocino,40
California,Merced,57
California,Mono,51
California,Monterey,39
California,Napa,39
California,Nevada,46
California,Orange,56
California,Placer,57
California,Plumas,56
California,Riverside,87
California,Sacramento,55
California,San Benito,41
California,San Bernardino,93
California,San Diego,74
California,San Francisco,42
California,San Joaquin,54
California,San Luis Obispo,53
California,San Mateo,37
California,Santa Barbara,48
California,Santa Clara,52
California,Santa Cruz,39
California,Shasta,41
California,Siskiyou,39
California,Solano,51
California,Sonoma,36
California,Stanislaus,60
California,Sutter,53
California,Tehama,46
California,Trinity,36
California,Tulare,80
California,Tuolumne,41
California,Ventura,50
California,Yolo,45
Colorado,Adams,49
Colorado,Alamosa,14
Colorado,Arapahoe,46
Colorado,Archuleta,43
Colorado,Boulder,51
Colorado,Chaffee,50
Colorado,Clear Creek,49
Colorado,Delta,41
Colorado,Denver,53
Colorado,Douglas,47
Colorado,El Paso,46
Colorado,Fremont,11
Colorado,Garfield,48
Colorado,Gilpin,45
Colorado,Grand,45
Colorado,Gunnison,44
Colorado,Jackson,7
Colorado,Jefferson,46
Colorado,La Plata,45
Colorado,Larimer,49
Colorado,Mesa,44
Colorado,Montezuma,44
Colorado,Park,50
Colorado,Pitkin,12
Colorado,Prowers,17
Colorado,Pueblo,22
Colorado,Rio Blanco,45
Colorado,Routt,14
Colorado,San Juan,9
Colorado,San Miguel,48
Colorado,Weld,52
Connecticut,Fairfield,47
Connecticut,Hartford,42
Connecticut,Litchfield,39
Connecticut,Middlesex,39
Connecticut,New Haven,46
Connecticut,New London,41
Connecticut,Tolland,39
Connecticut,Windham,35
Country Of Mexico,BAJA CALIFORNIA NORTE,115
Country Of Mexico,SONORA,41
Delaware,Kent,39
Delaware,New Castle,46
Delaware,Sussex,42
District Of Columbia,District of Columbia,44
Florida,Alachua,42
Florida,Baker,40
Florida,Bay,47
Florida,Brevard,43
Florida,Broward,49
Florida,Citrus,43
Florida,Collier,41
Florida,Columbia,44
Florida,Duval,52
Florida,Escambia,51
Florida,Flagler,31
Florida,Hamilton,46
Florida,Highlands,31
Florida,Hillsborough,52
Florida,Holmes,47
Florida,Indian River,37
Florida,Lake,32
Florida,Lee,39
Florida,Leon,49
Florida,Liberty,31
Florida,Manatee,33
Florida,Marion,46
Florida,Martin,42
Florida,Miami-Dade,45
Florida,Nassau,42
Florida,Okaloosa,34
Florida,Orange,34
Florida,Osceola,32
Florida,Palm Beach,42
Florida,Pasco,35
Florida,Pinellas,46
Florida,Polk,42
Florida,Putnam,14
Florida,Santa Rosa,47
Florida,Sarasota,44
Florida,Seminole,40
Florida,St. Lucie,33
Florida,Volusia,44
Florida,Wakulla,41
