State,County,Year,Median_AQI
Alabama,Baldwin,2024,40
Alabama,Clay,2024,29
Alabama,DeKalb,2024,43
Alabama,Elmore,2024,37
Alabama,Etowah,2024,47
Alabama,Jefferson,2024,57
Alabama,Lawrence,2024,34
Alabama,Madison,2024,44
Alabama,Mobile,2024,45
Alabama,Montgomery,2024,42
Alabama,Morgan,2024,44
Alabama,Russell,2024,42
Alabama,Shelby,2024,40
Alabama,Sumter,2024,36
Alabama,Tuscaloosa,2024,37
Alaska,Aleutians East ,2024,13
Alaska,Anchorage ,2024,24
Alaska,Denali ,2024,35
Alaska,Fairbanks North Star ,2024,42
Alaska,Juneau ,2024,24
Alaska,Kenai Peninsula ,2024,9
Alaska,Matanuska-Susitna ,2024,16
Alaska,North Slope ,2024,6
Arizona,Apache,2024,14
Arizona,Cochise,2024,48
Arizona,Coconino,2024,46
Arizona,Gila,2024,50
Arizona,La Paz,2024,47
Arizona,Maricopa,2024,77
Arizona,Mohave,2024,19
Arizona,Navajo,2024,13
Arizona,Pima,2024,56
Arizona,Pinal,2024,77
Arizona,Santa Cruz,2024,43
Arizona,Yavapai,2024,47
Arizona,Yuma,2024,47
Arkansas,Arkansas,2024,46
Arkansas,Ashley,2024,41
Arkansas,Clark,2024,35
Arkansas,Crittenden,2024,41
Arkansas,Garland,2024,50
Arkansas,Jackson,2024,39
Arkansas,Newton,2024,39
Arkansas,Polk,2024,38
Arkansas,Pulaski,2024,55
Arkansas,Union,2024,49
Arkansas,Washington,2024,41
California,Alameda,2024,39
California,Amador,2024,40
California,Butte,2024,46
California,Calaveras,2024,42
California,Colusa,2024,54
California,Contra Costa,2024,49
California,Del Norte,2024,32
California,El Dorado,2024,44
California,Fresno,2024,67
California,Glenn,2024,39
California,Humboldt,2024,38
California,Imperial,2024,63
California,Inyo,2024,61
California,Kern,2024,72
California,Kings,2024,60
California,Lake,2024,32
California,Los Angeles,2024,80
California,Madera,2024,52
California,Marin,2024,28
California,Mariposa,2024,45
California,Mendocino,2024,43
California,Merced,2024,52
California,Mono,2024,19
California,Monterey,2024,39
California,Nevada,2024,36
California,Orange,2024,54
California,Placer,2024,50
California,Plumas,2024,48
California,Riverside,2024,86
California,Sacramento,2024,51
California,San Benito,2024,43
California,San Bernardino,2024,87
California,San Diego,2024,71
California,San Francisco,2024,29
California,San Joaquin,2024,51
California,San Luis Obispo,2024,49
California,San Mateo,2024,44
California,Santa Barbara,2024,49
